timestamp,application,log_level,log_message
2025-03-19 20:28:09,sbi,INFO,[4a4a0126-04f8-41f0-be3b-a906f9392bf5] NF registered [Heartbeat:10s] (../lib/sbi/nf-sm.c:208)
2025-03-19 20:28:09,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:28:09,sbi,INFO,"[4a4a881c-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:28:09.328557+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:28:09,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:28:09,sbi,INFO,"[4a4a9294-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:28:09.328751+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:28:09,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:28:09,sbi,INFO,"[4a4a9708-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:28:09.328879+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:27:04,sbi,INFO,[7b1757a2-04f5-41f0-9544-3fac7f661067] (NRF-notify) NF_DEREGISTERED event [type:PCF] (../lib/sbi/nnrf-handler.c:1165)
2025-03-19 20:27:04,sbi,INFO,[75371868-04f5-41f0-8f79-a3d8aca4eb3f] (NRF-notify) NF_DEREGISTERED event [type:NSSF] (../lib/sbi/nnrf-handler.c:1165)
2025-03-19 20:27:59,app,INFO,Configuration: '/open5gs/install/etc/open5gs/amf.yaml' (../lib/app/ogs-init.c:144)
2025-03-19 20:27:59,app,INFO,File Logging: '/open5gs/install/var/log/open5gs/amf.log' (../lib/app/ogs-init.c:147)
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/context.c:457)
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.35:7777] (../lib/sbi/context.c:505)
2025-03-19 20:27:59,metrics,INFO,metrics_server() [http://172.22.0.10]:9091 (../lib/metrics/prometheus/context.c:299)
2025-03-19 20:27:59,sbi,INFO,NF Service [namf-comm] (../lib/sbi/context.c:1970)
2025-03-19 20:27:59,sbi,INFO,nghttp2_server() [http://172.22.0.10]:7777 (../lib/sbi/nghttp2-server.c:435)
2025-03-19 20:27:59,amf,INFO,ngap_server() [172.22.0.10]:38412 (../src/amf/ngap-sctp.c:61)
2025-03-19 20:27:59,sctp,INFO,AMF initialize...done (../src/amf/app.c:33)
2025-03-19 20:27:59,sbi,INFO,[4470af0c-04f8-41f0-97c3-4b1af3dec23a] NF registered [Heartbeat:10s] (../lib/sbi/nf-sm.c:208)
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:27:59,sbi,INFO,"[447238a4-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:27:59.523311+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:27:59,sbi,INFO,"[44726ff4-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:27:59.523776+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:27:59,sbi,INFO,"[44728156-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:27:59.524539+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:27:59,sbi,INFO,"[44729e70-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:27:59.524975+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:27:59,sbi,INFO,"[4472b8e2-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:27:59.525664+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:27:59,sbi,INFO,"[4472d62e-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:27:59.526462+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
